author_id,name,affiliations,citations_all,citations_since_2020,h_index_all,h_index_since_2020,i10_index_all,i10_index_since_2020,co_authors
-iQcCr4AAAAJ,Eugene Pek Chuen Khee,Associate Professor,402,215,11,9,14,7,
-X_S9UMAAAAJ,Wern Han Lim,Monash University,75,55,4,3,3,2,"Saadat M. Alhashmi, Mark J. Carman"
0OjUid0AAAAJ,Golnoush Abaei,RMIT School of Computing Technologies,710,504,12,10,12,10,"Ali Selamat, Elahe Abdolkarimi, Mojtaba Sepehrnia, Jehad Al Dallal, M. R. Mosavi, D S Guru, Pooria M. Yaghini, Fujita H; Hamido Fujita; Fujita Hamido"
1xWR0IgAAAAJ,CHERN HONG LIM,"Lecturer, Monash University Malaysia",467,327,11,10,12,10,"Chee Seng Chan, Tan Hock Siew, Patrick, Raphaël C.-W. Phan, Ekta Vats, KokSheik Wong, Muhammad Fermi Pasha, Muhammad Hasnain, Jian Han Lim, Foo Su Chern, Bhanuka Gamage, Ian Tan, Kam Meng Goh, Anhar Risnumawan, Mohammed Moussa, Low Jia Ming, Wai Lam Hoo, Alexander Kadyrov"
328TcVkAAAAJ,Wageeh Boles,"Full Professor, Queensland University of Technology",5554,1293,32,16,72,22,"Samuel Cunningham, Colin Boyd, Anthony J Maeder, Hussain Nyeem, Andrea Goncher, Vamsi Krishna Madasu, Arnold Wiliem, Prasad KDV Yarlagadda, Justin Boyle, Prof Boualem Boashash, Vinod Chandran, Peter Corke, Sridha Sridharan, Jason A. Dowling, Dhammika Jayalath, Damien Dusha, Prof. Mohamed Deriche, Signal & Ima..., Leonard Raj, Duncan Campbell, Yin Xiao"
4Fae_a8AAAAJ,Duncan McDuie-Ra,"Professor and Head of School of Arts and Social Sciences, Monash University Malaysia",2157,1300,29,23,53,47,Daniel F. Robinson
4Ly8WqsAAAAJ,Adamu Muhammad Buhari,"School of Information Technology, Monash University Malaysia.",132,118,6,6,4,4,"Vishnu Monn Baskaran, KokSheik Wong, Raphaël C.-W. Phan, Ooi Chee Pun, Wooi Haw Tan, Huo-Chong Ling, Kazi Sajedur Rahman, Md. Rokonuzzaman, Mahmuda Mishu, Rajib Baran Roy, Jagadeesh Pasupuleti, Nowshad Amin, Hisham Neyaz, Abdul Rahim Ahmad, Mohammed Najah Mahdi, Taofiq Adeola Bakare, Khalid Sheikhidris Mohamed, Roslan Ismail, PhD. E..."
5o0INd0AAAAJ,Zong Yang Kong,Sunway University,1117,1105,19,19,34,34,"Jaka Sunarso, Ao Yang（杨傲）, Hao-Yeh Lee, Juan Gabriel Segovia-Hernández, Weifeng Shen, SHAOMIN LIU, Jingzheng Ren (任競爭)"
7Gho1l0AAAAJ,Jing-Ming Guo,"IEEE Fellow, Professor, Department of Electrical Engineering, Taiwan Tech",5609,2188,42,23,113,58,
aPxI3LYAAAAJ,Gothai Sivapragasam,PhD in Medical Biotechnology,2532,2110,17,16,22,20,"Norhaizan Mohd Esa, Palanivel Ganesan, Dong-Kug Choi"
bEizqhwAAAAJ,Ir. Dr. Patrick W. C. Ho,Monash University,184,94,9,7,9,5,"Haider Abbas Almurib, Dr. T. Nandha Kumar, Firas Hatem"
CbEwktUAAAAJ,Daniel F. Robinson,University of New South Wales,1784,957,22,15,35,19,"Danielle Drozdzewski, Duncan McDuie-Ra, Stewart Williams, Dr Meg Sherval, Sue Jackson, Chris Gibson, Miranda Forsyth"
fNu4oKEAAAAJ,Mogana Darshini Ganggayah,Dr,623,607,6,6,5,5,
