ERA Code,ERA Acronym,ERA Conference Name,Acronym,Conference Name (DBLP),GS Venue Code,GS Name,Google Scholar H5-Index 2023,Google Scholar H5-Index 2022,CORE ID,CORE Conference Name,ICORE 2023 Rank,CORE 2021 Rank,CORE 2020 Rank,CORE 2018 Rank,ERA 2010 Rank,DBLP Link,DBLP URL,Google Scholar Metrics Link,GS URL,Comment
50487,IEEE Radar Conference,RadarCon,-,-,vb4obqGG1LEJ,IEEE Radar Conference,32,34,-,,-,-,-,-,-,Not in DBLP,,View,https://scholar.google.com/citations?view_op=list_hcore&venue=vb4obqGG1LEJ.2023,
50486,IEEE Power and Energy Society General Meeting,PES-GM,-,-,Vehj4EToousJ,IEEE Power and Energy Society General Meeting,78,82,-,,-,-,-,-,-,Not in DBLP,,View,https://scholar.google.com/citations?view_op=list_hcore&venue=Vehj4EToousJ.2023,Added 27/07/2022 as it met objective criteria. Request made by Mark Wallace (DSAI).
,,,-,-,NraRN7IFL1cJ,Conference on Energy Internet and Energy System Integration,18,20,-,,-,-,-,-,-,Not in DBLP,,View,https://scholar.google.com/citations?view_op=list_hcore&venue=NraRN7IFL1cJ.2023,Added 27/07/2022 as it met objective criteria. Request made by Mark Wallace (DSAI).
72526,IEEE/IAS Industrial and Commercial Power Systems Technical Conference,,-,-,qkc7bQIT5R8J,Industrial and Commercial Power Systems Technical Conference,24,21,-,,-,-,-,-,-,Not in DBLP,,View,https://scholar.google.com/citations?view_op=list_hcore&venue=qkc7bQIT5R8J.2023,Added 27/07/2022 as it met objective criteria. Request made by Mark Wallace (DSAI).
50437,iConference,iConference,-,iConference,lLDWYNdt0a4J,iConference,19,,-,,-,-,-,-,-,View,https://dblp.org/db/conf/iconference/index.html,View,https://scholar.google.com/citations?view_op=list_hcore&venue=lLDWYNdt0a4J.2023,Met objective criteria in August 2023.  Requested by Gillian Oliver (HCC).
43933,AAAI,AAAI Conference on Artificial Intelligence,AAAI,AAAI Conference on Artificial Intelligence,PV9sQN5dnPsJ,AAAI Conference on Artificial Intelligence,212,180,1629,National Conference of the American Association for Artificial Intelligence,A*,A*,A*,A*,A,View,https://dblp.org/db/conf/aaai/index.html,View,https://scholar.google.com/citations?view_op=list_hcore&venue=PV9sQN5dnPsJ.2023,
43238,AAMAS,International Conference on Autonomous Agents and Multi-Agent Systems,AAMAS,International Joint Conference on Autonomous Agents & Multiagent Systems,yWxsQWGuQ-sJ,International Conference on Autonomous Agents and MultiAgent Systems,55,50,922,"International Joint Conference on Autonomous Agents and Multiagent Systems (previously the International Conference on Multiagent Systems, ICMAS, changed in 2000)",A*,A*,A*,A*,A,View,https://dblp.org/db/conf/atal/index.html,View,https://scholar.google.com/citations?view_op=list_hcore&venue=yWxsQWGuQ-sJ.2023,
50217,ACC,American Control Conference,ACC,American Control Conference,tgZe9odv5lUJ,American Control Conference,43,43,-,,-,-,-,-,-,View,https://dblp.org/db/conf/amcc/index.html,View,https://scholar.google.com/citations?view_op=list_hcore&venue=tgZe9odv5lUJ.2023,
42441,ACCV,Asian Conference on Computer Vision,ACCV,Asian Conference on Computer Vision,C6G2a_KY88AJ,Asian Conference on Computer Vision (ACCV),60,46,167,Asian Conference on Computer Vision,B,B,B,B,B,View,https://dblp.org/db/conf/accv/index.html,View,https://scholar.google.com/citations?view_op=list_hcore&venue=C6G2a_KY88AJ.2023,
43217,International Conference on Affective Computing and Intelligent,ACII,ACII,Affective Computing and Intelligent Interaction,n8TWwN8Kc5cJ,International Conference on Affective Computing and Intelligent Interaction and Workshops,24,26,901,International Conference on Affective Computing and Intelligent,C,C,C,C,C,View,https://dblp.org/db/conf/acii/index.html,View,https://scholar.google.com/citations?view_op=list_hcore&venue=n8TWwN8Kc5cJ.2023,Met objective criteria in August 2023.  Requested by Derry Wijaya.
