Scopus Source ID,Title,CiteScore 2023,SNIP 2023,SJR 2023,SCIMAGO Best Quartile 2023,SCIMAGO Categories,Publisher,Type,Open Access,URL Scopus Source ID,Print ISSN,E-ISSN
21100404576,2D Materials,10.7,1.037,1.483,Q1,Chemistry (miscellaneous) (Q1); Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1),Institute of Physics Publishing,journal,No,https://www.scopus.com/sourceid/21100404576,,2053-1583
19700200922,"3L: Language, Linguistics, Literature",1.6,0.818,0.323,Q1,Literature and Literary Theory (Q1); Linguistics and Language (Q2),Penerbit Universiti Kebangsaan Malaysia,journal,Yes,https://www.scopus.com/sourceid/19700200922,0128-5157,2550-2247
21101076713,A e C - Revista de Direito Administrativo e Constitucional,1.1,0.572,0.402,Q1,Law (Q1),Instituto de Direito Romeu Felipe Bacellar,journal,No,https://www.scopus.com/sourceid/21101076713,1516-3210,1984-4182
21100456161,a/b: Auto/Biography Studies,0.8,0.967,0.176,Q1,Literature and Literary Theory (Q1); Cultural Studies (Q2); History (Q2),Taylor & Francis,journal,No,https://www.scopus.com/sourceid/21100456161,2151-7290,
30787,AAPG Bulletin,6.6,1.154,1.252,Q1,Earth and Planetary Sciences (miscellaneous) (Q1); Energy Engineering and Power Technology (Q1); Energy (miscellaneous) (Q1); Fuel Technology (Q1); Geochemistry and Petrology (Q1); Geology (Q1),American Association of Petroleum Geologists,journal,No,https://www.scopus.com/sourceid/30787,0149-1423,
21101165632,AAPPS Bulletin,8.2,2.377,1.233,Q1,Physics and Astronomy (miscellaneous) (Q1),Springer,journal,Yes,https://www.scopus.com/sourceid/21101165632,0218-2203,2309-4710
4000148019,AAPS Journal,7.8,1.178,0.97,Q1,Pharmaceutical Science (Q1),Springer Nature,journal,No,https://www.scopus.com/sourceid/4000148019,1550-7416,
21100870382,ABAC Journal,2.2,0.425,0.189,Q1,"Literature and Literary Theory (Q1); Economics, Econometrics and Finance (miscellaneous) (Q3); Social Sciences (miscellaneous) (Q3); Business, Management and Accounting (miscellaneous) (Q4); Education (Q4)",Assumption University,journal,No,https://www.scopus.com/sourceid/21100870382,0858-0855,
21100454916,Abdominal Radiology,5.2,0.953,0.78,Q1,"Urology (Q1); Gastroenterology (Q2); Radiological and Ultrasound Technology (Q2); Radiology, Nuclear Medicine and Imaging (Q2)",Springer Nature,journal,No,https://www.scopus.com/sourceid/21100454916,2366-004X,2366-0058
21101075891,aBIOTECH,7.7,0.838,1.328,Q1,"Agronomy and Crop Science (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Biotechnology (Q1); Genetics (Q1); Plant Science (Q1); Molecular Biology (Q2)",Springer,journal,No,https://www.scopus.com/sourceid/21101075891,2096-6326,2662-1738
15185,Academic Emergency Medicine,7.6,1.244,1.279,Q1,Emergency Medicine (Q1); Medicine (miscellaneous) (Q1),Wiley-Blackwell,journal,No,https://www.scopus.com/sourceid/15185,1069-6563,1553-2712
26493,Academic Medicine,7.8,2.049,1.56,Q1,Education (Q1); Medicine (miscellaneous) (Q1),Wolters Kluwer Health,journal,No,https://www.scopus.com/sourceid/26493,1040-2446,1938-808X
16800154743,Academic Pediatrics,4.6,1.156,1.241,Q1,"Pediatrics, Perinatology and Child Health (Q1)",Elsevier,journal,No,https://www.scopus.com/sourceid/16800154743,1876-2859,1876-2867
20031,Academic Radiology,7.6,1.285,1.062,Q1,"Radiology, Nuclear Medicine and Imaging (Q1)",Elsevier,journal,No,https://www.scopus.com/sourceid/20031,1076-6332,1878-4046
19900191906,Academy of Management Annals,36,8.99,14.605,Q1,Business and International Management (Q1); Organizational Behavior and Human Resource Management (Q1),Academy of Management,journal,No,https://www.scopus.com/sourceid/19900191906,1941-6520,1941-6067
21101146363,Academy of Management Discoveries,10,1.981,3.803,Q1,Business and International Management (Q1); Industrial Relations (Q1); Organizational Behavior and Human Resource Management (Q1); Strategy and Management (Q1),Academy of Management,journal,No,https://www.scopus.com/sourceid/21101146363,,2168-1007
20191,Academy of Management Journal,16,3.745,8.271,Q1,"Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)",Academy of Management,journal,No,https://www.scopus.com/sourceid/20191,0001-4273,
5200152701,Academy of Management Learning and Education,8.2,2.054,2.007,Q1,Education (Q1); Organizational Behavior and Human Resource Management (Q1),George Washington University,journal,No,https://www.scopus.com/sourceid/5200152701,1537-260X,
4700152287,Academy of Management Perspectives,18.2,3.106,4.569,Q1,Business and International Management (Q1); Marketing (Q1); Strategy and Management (Q1),Academy of Management,journal,No,https://www.scopus.com/sourceid/4700152287,1558-9080,
20206,Academy of Management Review,24.6,5.128,10.486,Q1,"Business, Management and Accounting (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)",Academy of Management,journal,No,https://www.scopus.com/sourceid/20206,0363-7425,
19532,Accident Analysis and Prevention,11.9,2.18,1.897,Q1,"Human Factors and Ergonomics (Q1); Law (Q1); Public Health, Environmental and Occupational Health (Q1); Safety, Risk, Reliability and Quality (Q1)",Elsevier,journal,No,https://www.scopus.com/sourceid/19532,0001-4575,1879-2057
18735,Accountability in Research,4.9,1.295,0.623,Q1,Library and Information Sciences (Q1); Education (Q2); Medicine (miscellaneous) (Q2),Taylor & Francis,journal,No,https://www.scopus.com/sourceid/18735,0898-9621,1545-5815
200147123,Accounting and Finance,5.1,1.321,0.816,Q1,"Economics, Econometrics and Finance (miscellaneous) (Q1); Accounting (Q2); Finance (Q2)",Wiley-Blackwell,journal,No,https://www.scopus.com/sourceid/200147123,0810-5391,1467-629X
19700188267,Accounting Education,8,2.263,0.905,Q1,Accounting (Q1); Education (Q1),Taylor & Francis,journal,No,https://www.scopus.com/sourceid/19700188267,0963-9284,1468-4489
21100388306,Accounting Historians Journal,0.5,0.563,0.313,Q1,History (Q1); Accounting (Q3),American Accounting Association,journal,No,https://www.scopus.com/sourceid/21100388306,0148-4184,2327-4468
11400153311,Accounting History,2.2,0.866,0.51,Q1,History (Q1); Accounting (Q2),SAGE,journal,No,https://www.scopus.com/sourceid/11400153311,1032-3732,1749-3374
19900192338,Accounting History Review,1.2,0.919,0.198,Q1,"History (Q1); Business, Management and Accounting (miscellaneous) (Q3); Accounting (Q4)",Taylor & Francis,journal,No,https://www.scopus.com/sourceid/19900192338,2155-2851,2155-286X
5000158708,Accounting Horizons,3.8,1.677,1.178,Q1,Accounting (Q1),American Accounting Association,journal,No,https://www.scopus.com/sourceid/5000158708,0888-7993,1558-7975
28096,Accounting Review,5.8,3.187,4.64,Q1,Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1),American Accounting Association,journal,No,https://www.scopus.com/sourceid/28096,0001-4826,1558-7967
130105,"Accounting, Auditing and Accountability Journal",9.5,2.098,1.847,Q1,"Accounting (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1)",Emerald,journal,No,https://www.scopus.com/sourceid/130105,0951-3574,
21100843497,"Accounting, Economics and Law: A Convivium",2.8,0.628,0.391,Q1,"Law (Q1); Economics, Econometrics and Finance (miscellaneous) (Q2); Accounting (Q3)",Walter de Gruyter,journal,No,https://www.scopus.com/sourceid/21100843497,,2152-2820
28094,"Accounting, Organizations and Society",7.8,2.749,2.208,Q1,Accounting (Q1); Applied Psychology (Q1); Information Systems and Management (Q1); Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1),Elsevier,journal,No,https://www.scopus.com/sourceid/28094,0361-3682,
22657,Accounts of Chemical Research,31.4,3.288,5.948,Q1,Chemistry (miscellaneous) (Q1); Medicine (miscellaneous) (Q1),American Chemical Society,journal,No,https://www.scopus.com/sourceid/22657,0001-4842,1520-4898
21101080487,Accounts of Materials Research,17.7,1.914,4.403,Q1,Chemical Engineering (miscellaneous) (Q1); Materials Chemistry (Q1); Materials Science (miscellaneous) (Q1); Polymers and Plastics (Q1),American Chemical Society,journal,No,https://www.scopus.com/sourceid/21101080487,,2643-6728
25159,ACI Materials Journal,3.6,0.689,0.753,Q1,Building and Construction (Q1); Civil and Structural Engineering (Q1); Materials Science (miscellaneous) (Q2),American Concrete Institute,journal,No,https://www.scopus.com/sourceid/25159,0889-325X,
23038,ACM Computing Surveys,33.2,8.26,6.28,Q1,Computer Science (miscellaneous) (Q1); Theoretical Computer Science (Q1),ACM,journal,No,https://www.scopus.com/sourceid/23038,0360-0300,1557-7341
4700153006,ACM Transactions on Algorithms,3.3,1.232,1.555,Q1,Mathematics (miscellaneous) (Q1),ACM,journal,No,https://www.scopus.com/sourceid/4700153006,1549-6325,1549-6333
19700166602,ACM Transactions on Computation Theory,2.3,0.853,0.997,Q1,Computational Theory and Mathematics (Q1); Theoretical Computer Science (Q2),ACM,journal,No,https://www.scopus.com/sourceid/19700166602,1942-3454,1942-3462
23051,ACM Transactions on Computational Logic,2.3,1.231,0.876,Q1,Computer Science (miscellaneous) (Q1); Logic (Q1); Computational Mathematics (Q2); Theoretical Computer Science (Q2),ACM,journal,No,https://www.scopus.com/sourceid/23051,1529-3785,1557-945X
26199,ACM Transactions on Computer-Human Interaction,8.5,1.789,1.842,Q1,Human-Computer Interaction (Q1),ACM,journal,No,https://www.scopus.com/sourceid/26199,1073-0516,1557-7325
19700183047,ACM Transactions on Computing Education,6.5,1.91,1.083,Q1,Computer Science (miscellaneous) (Q1); Education (Q1),ACM,journal,No,https://www.scopus.com/sourceid/19700183047,,1946-6226
21101079108,ACM Transactions on Computing for Healthcare,10.3,1.805,1.49,Q1,Biomedical Engineering (Q1); Computer Science Applications (Q1); Health Informatics (Q1); Health Information Management (Q1); Information Systems (Q1); Medicine (miscellaneous) (Q1); Software (Q1),Association for Computing Machinery (ACM),journal,No,https://www.scopus.com/sourceid/21101079108,2691-1957,2637-8051
21100935201,ACM Transactions on Cyber-Physical Systems,5.7,0.947,0.806,Q1,Control and Optimization (Q1); Artificial Intelligence (Q2); Computer Networks and Communications (Q2); Hardware and Architecture (Q2); Human-Computer Interaction (Q2),ACM,journal,No,https://www.scopus.com/sourceid/21100935201,2378-962X,2378-9638
13044,ACM Transactions on Database Systems,5.6,1.711,1.73,Q1,Information Systems (Q1),ACM,journal,No,https://www.scopus.com/sourceid/13044,0362-5915,1557-4644
